iter	Logloss
0	0.591676712
1	0.5238451075
2	0.476634838
3	0.4229686878
4	0.3819250884
5	0.35300714
6	0.3321196945
7	0.3052230764
8	0.2992787538
9	0.2869351705
10	0.2675567556
11	0.2612064856
12	0.2487306595
13	0.2442121859
14	0.238224524
15	0.2299103384
16	0.2215322035
17	0.2150952021
18	0.2106752219
19	0.2071181227
