iter	Passed	Remaining
0	2	21715
1	4	19551
2	6	18148
3	8	17530
4	10	17068
5	12	16657
6	14	16685
7	16	17134
8	18	17090
9	20	16959
10	22	16878
11	24	16845
12	26	16784
13	28	16689
14	30	16872
15	32	16846
16	34	16787
17	36	16680
18	38	16656
19	40	16744
