iter	Passed	Remaining
0	3	25926
1	5	21334
2	7	20128
3	9	19023
4	11	19238
5	13	18517
6	16	19199
7	18	18678
8	20	18257
9	22	18338
10	24	18178
11	26	17918
12	28	17829
13	30	17639
14	32	17472
15	33	17249
16	35	16982
17	37	17019
18	39	16918
19	41	17040
20	43	17105
21	45	17061
22	48	17282
23	50	17183
24	52	17075
25	54	16994
26	56	16939
27	58	16983
